Date,Price,Open,High,Low,Change %
19-01-2011,62052,62137,62641,61957,-0.1
18-01-2011,62116,62010,62590,61745,0.32
17-01-2011,61921,61638,62217,61548,0.29
14-01-2011,61741,61943,62506,61495,-0.38
13-01-2011,61979,62429,62888,61742,-0.66
12-01-2011,62393,62233,62633,62011,0.03
11-01-2011,62377,62302,62639,61921,0.09
10-01-2011,62320,62061,62517,62011,0.39
07-01-2011,62080,62055,62133,62105,-0.11
06-01-2011,62147,62403,62570,61862,-0.35
05-01-2011,62365,61974,62732,61834,0.63
04-01-2011,61974,63064,63557,61715,-1.69
03-01-2011,63039,63510,63622,63014,-0.65
31-12-2010,63449,62920,63595,62960,0.86
30-12-2010,62909,63408,63652,62874,-0.78
29-12-2010,63401,63278,63609,63056,0.19
28-12-2010,63283,62412,63357,62362,1.4
27-12-2010,62412,62305,62676,61787,0.17
24-12-2010,62305,62185,62685,62109,0.2
23-12-2010,62178,62316,62638,61938,-0.25
22-12-2010,62337,62604,62931,62280,-0.38
21-12-2010,62577,62787,63055,62400,-0.28
20-12-2010,62755,62145,63231,62196,1.08
17-12-2010,62084,62287,62505,61646,-0.26
16-12-2010,62244,62601,63012,61917,-0.54
15-12-2010,62583,62679,63313,62486,-0.15
14-12-2010,62676,62936,63294,62545,-0.41
13-12-2010,62935,62186,63239,62084,1.02
10-12-2010,62299,62613,63040,61825,-0.47
09-12-2010,62595,62175,62983,62168,0.71
08-12-2010,62154,62769,63157,61933,-0.96
07-12-2010,62756,63748,63922,62594,-1.57
06-12-2010,63755,63465,63988,63045,0.49
03-12-2010,63445,62496,63592,62459,1.55
02-12-2010,62476,62803,63253,62391,-0.47
01-12-2010,62770,63419,63730,62705,-0.93
30-11-2010,63362,62654,63745,62439,1.35
29-11-2010,62517,62417,62967,61819,0.04
26-11-2010,62494,62564,62768,61940,-0.17
25-11-2010,62598,62755,62848,62209,-0.35
24-11-2010,62817,62690,63236,62298,0.2
23-11-2010,62688,62085,63129,61693,1
22-11-2010,62069,61275,62194,61024,1.4
19-11-2010,61210,61074,61658,60900,-0.03
18-11-2010,61226,60222,61664,60054,1.59
17-11-2010,60267,60697,60872,59928,-0.74
16-11-2010,60718,61458,61785,60521,-1.17
15-11-2010,61435,61185,62135,60942,0.28
12-11-2010,61264,62716,62820,60911,-2.26
11-11-2010,62682,62118,62946,61793,0.84
10-11-2010,62160,61716,62623,61378,0.83
09-11-2010,61648,62468,63117,61335,-1.33
08-11-2010,62481,61219,62563,60873,2.14
05-11-2010,61170,61242,61416,60287,-0.12
04-11-2010,61245,59558,61400,59074,2.47
03-11-2010,59768,60202,60534,58804,-0.72
02-11-2010,60203,60061,60424,59825,0.24
01-11-2010,60061,60270,60683,59892,-0.26
29-10-2010,60220,59615,60410,59222,1.03
28-10-2010,59604,58871,59731,58659,1.23
27-10-2010,58881,59505,59742,58636,-1.07
26-10-2010,59519,59382,59805,59137,0.19
25-10-2010,59405,59225,59835,59162,0.58
22-10-2010,59060,58706,59183,58522,0.64
21-10-2010,58682,59494,59776,58320,-1.43
20-10-2010,59534,59154,59700,59011,0.67
19-10-2010,59139,60552,60870,58888,-2.34
18-10-2010,60554,60554,60554,60554,0.48
15-10-2010,60267,60851,61101,60117,-1.03
14-10-2010,60893,60821,61283,60465,0.16
13-10-2010,60795,60059,61030,59836,1.23
12-10-2010,60057,60095,60345,59611,-0.02
11-10-2010,60071,59722,60202,59538,0.52
08-10-2010,59762,58885,59963,58579,1.47
07-10-2010,58899,59610,60483,58547,-1.18
06-10-2010,59599,59465,59932,59242,0.02
05-10-2010,59588,58549,59670,58331,1.72
04-10-2010,58583,58427,58780,58153,0.27
01-10-2010,58422,58331,58739,58129,0.2
30-09-2010,58307,58515,58657,57765,-0.32
29-09-2010,58495,58834,59047,58426,-0.58
28-09-2010,58838,58250,59063,57819,1.03
27-09-2010,58237,58517,58631,58114,-0.41
24-09-2010,58474,58717,59043,58397,-0.35
23-09-2010,58678,58839,59064,58629,-0.27
22-09-2010,58837,58723,59024,58227,0.16
21-09-2010,58744,58366,58870,57934,0.67
20-09-2010,58352,58475,58709,58271,-0.01
17-09-2010,58360,58805,58899,58273,-0.76
16-09-2010,58808,58527,58981,58231,0.44
15-09-2010,58548,58639,58997,58395,-0.21
14-09-2010,58674,57620,58942,57527,1.79
13-09-2010,57641,57600,57851,57303,0.01
10-09-2010,57638,57650,57958,57201,-0.01
09-09-2010,57641,58243,58583,57536,-1.17
08-09-2010,58325,58727,58962,58226,-0.75
07-09-2010,58767,58078,58980,57657,1.06
06-09-2010,58148,57987,58294,57567,0.46
03-09-2010,57880,58451,58553,57530,-0.95
02-09-2010,58435,57935,58615,57746,0.71
01-09-2010,58026,58707,58808,57955,-1.01
31-08-2010,58620,57932,58799,57458,1.08
30-08-2010,57995,57862,58092,57279,0.25
27-08-2010,57848,57845,58265,57527,0.08
26-08-2010,57803,58088,58308,57624,-0.53
25-08-2010,58114,57624,58257,57259,0.8
24-08-2010,57652,57143,57914,56462,0.89
23-08-2010,57146,57183,57441,56845,-0.11
20-08-2010,57211,57217,57523,56868,-0.11
19-08-2010,57273,57198,57378,56675,0.14
18-08-2010,57195,57101,57377,56563,0.28
17-08-2010,57036,57226,57384,56678,-0.49
16-08-2010,57315,56505,57422,56433,1.35
13-08-2010,56551,56682,56914,56203,-0.16
12-08-2010,56642,55872,56850,55610,1.43
11-08-2010,55842,55772,56383,55378,0.16
10-08-2010,55754,55349,55946,54883,0.79
09-08-2010,55316,55329,55789,55054,-0.06
06-08-2010,55350,54982,55904,54583,0.64
05-08-2010,55000,54797,55496,54581,0.3
04-08-2010,54838,54709,55488,54437,0.28
03-08-2010,54686,54593,54923,54137,0.15
02-08-2010,54603,54773,55020,54315,-0.31
30-07-2010,54771,54296,54901,53847,0.91
29-07-2010,54276,54376,54549,53947,-0.19
28-07-2010,54378,54207,54471,53941,0.33
27-07-2010,54198,55585,55767,54034,-2.54
26-07-2010,55613,55741,56358,55503,-0.22
23-07-2010,55734,56287,56503,55538,-0.98
22-07-2010,56283,55856,56575,55547,0.67
21-07-2010,55908,56270,56515,55736,-0.72
20-07-2010,56313,55785,56425,55373,1.03
19-07-2010,55741,55699,56203,55459,0.02
16-07-2010,55727,56324,56632,55486,-1.05
15-07-2010,56317,56416,56749,56042,-0.13
14-07-2010,56390,56621,56922,56194,-0.4
13-07-2010,56616,55726,56939,55509,1.55
12-07-2010,55752,56466,56634,55820,-1.37
09-07-2010,56529,56075,56642,55597,0.76
08-07-2010,56103,56465,56748,55620,-0.71
07-07-2010,56505,55712,56652,55395,1.35
06-07-2010,55750,56470,56805,55654,-1.32
05-07-2010,56496,56342,56880,56064,0.23
02-07-2010,56366,55710,56966,55619,0.95
01-07-2010,55833,57662,58036,55789,-3.15
30-06-2010,57648,57561,58018,57304,-0.01
29-06-2010,57656,57131,57812,56748,0.88
28-06-2010,57152,57689,58350,57015,-1.07
25-06-2010,57770,57762,58334,57245,-0.11
24-06-2010,57836,56997,58179,56570,1.33
23-06-2010,57075,56961,57570,56698,0.1
22-06-2010,57019,56214,57413,56235,1.39
21-06-2010,56237,57908,58066,56224,-2.71
18-06-2010,57805,57487,58226,57010,0.55
17-06-2010,57489,57012,57859,56873,0.83
16-06-2010,57014,57135,57655,56781,-0.25
15-06-2010,57158,56732,57387,56380,0.71
14-06-2010,56753,57376,57702,56511,-0.97
11-06-2010,57311,56813,57565,56465,0.71
10-06-2010,56909,57858,58023,56853,-1.69
09-06-2010,57886,57746,58361,57387,0.12
08-06-2010,57818,58369,58986,57787,-0.96
07-06-2010,58378,57083,58618,56593,2.2
04-06-2010,57122,56240,57216,55792,1.4
03-06-2010,56332,57442,57541,55944,-1.94
02-06-2010,57450,57740,57902,56946,-0.48
01-06-2010,57726,56332,57949,56282,2.42
31-05-2010,56360,56095,56497,55876,0.29
28-05-2010,56199,56552,56694,55717,-0.68
27-05-2010,56583,57045,57257,56409,-0.74
26-05-2010,57005,57062,57574,57019,0.02
25-05-2010,56993,55913,57277,55368,1.86
24-05-2010,55953,55175,56226,55191,1.52
21-05-2010,55115,55250,55738,54586,-0.4
20-05-2010,55334,55245,55952,54995,0.11
19-05-2010,55273,55752,56394,54940,-0.68
18-05-2010,55652,55557,56042,55014,0.05
17-05-2010,55623,55680,56790,55481,-0.27
14-05-2010,55773,55524,56484,55047,0.46
13-05-2010,55519,55500,56849,55276,-0.1
12-05-2010,55574,55436,56298,55067,0.08
11-05-2010,55529,53823,55654,53662,3.02
10-05-2010,53899,54744,54853,53142,-2.03
07-05-2010,55015,54859,55309,54199,0.2
06-05-2010,54904,52668,55089,52122,4.33
05-05-2010,52628,52227,52760,51894,0.73
04-05-2010,52245,52583,53199,52026,-0.7
03-05-2010,52612,52149,52819,52023,0.91
30-04-2010,52138,51682,52547,51747,0.43
29-04-2010,51915,51959,52252,51734,-0.01
28-04-2010,51922,51885,52333,51684,-0.35
27-04-2010,52103,51194,52152,50957,1.68
26-04-2010,51243,51199,51412,50963,0.01
23-04-2010,51239,50809,51405,50421,0.85
22-04-2010,50807,51021,51161,50415,-0.42
21-04-2010,51023,50683,51255,50492,0.6
20-04-2010,50719,50766,50993,50552,-0.08
19-04-2010,50762,50164,50846,50168,0.94
16-04-2010,50288,51314,51508,50080,-2.01
15-04-2010,51320,51009,51619,50941,0.6
14-04-2010,51013,51211,51451,50958,-0.37
13-04-2010,51205,51331,51553,50990,-0.35
12-04-2010,51385,51560,51892,51206,0.34
09-04-2010,51210,51046,51558,50922,0.42
08-04-2010,50998,50991,51288,50758,0.09
07-04-2010,50951,50334,51257,50212,1.22
06-04-2010,50336,50167,50576,49871,0.44
05-04-2010,50114,50292,50472,49894,0.01
02-04-2010,50109,50366,50484,49986,-0.65
01-04-2010,50438,49836,50552,49734,1.17
31-03-2010,49853,49622,50232,49500,0.48
30-03-2010,49617,49772,50165,49548,-0.22
29-03-2010,49725,50052,50283,49674,-0.3
26-03-2010,49874,49442,50107,49320,0.66
25-03-2010,49546,49315,49905,49237,0.38
24-03-2010,49361,50008,50242,49309,-1.37
23-03-2010,50049,50106,50469,49921,-0.13
22-03-2010,50113,50287,50473,49715,-0.32
19-03-2010,50273,51129,51287,49891,-1.72
18-03-2010,51152,50973,51396,50730,0.26
17-03-2010,51021,51192,51421,50667,-0.34
16-03-2010,51194,50490,51392,50298,1.38
15-03-2010,50497,49984,50586,49912,0.83
12-03-2010,50082,50449,50846,49992,-0.76
11-03-2010,50464,50312,50640,50120,0.28
10-03-2010,50326,51084,51249,50098,-1.35
09-03-2010,51016,51114,51307,50612,-0.09
08-03-2010,51062,51588,51728,50927,-0.68
05-03-2010,51413,51784,52001,51390,-0.72
04-03-2010,51784,52036,52302,51521,-0.5
03-03-2010,52043,51958,52426,51643,0.39
02-03-2010,51842,51467,52379,51202,0.9
01-03-2010,51382,51435,51771,51104,-0.1
26-02-2010,51435,51198,51605,51006,0.34
25-02-2010,51260,50781,51606,50461,1.05
24-02-2010,50728,51014,51317,50457,-0.5
23-02-2010,50981,51328,51672,50859,-0.65
22-02-2010,51314,51840,52084,51190,-0.55
19-02-2010,51596,51335,52133,50630,-0.56
18-02-2010,51884,51040,51998,50455,0.85
17-02-2010,51446,51389,51969,51032,0.06
16-02-2010,51416,50986,51808,50801,0.84
15-02-2010,50986,50751,51084,50397,0.53
12-02-2010,50715,50775,50868,49984,0
11-02-2010,50717,49658,50918,49680,2.04
10-02-2010,49702,49954,50329,49442,-0.47
09-02-2010,49937,49770,50376,49503,0.32
08-02-2010,49777,49744,50244,49412,0.26
05-02-2010,49646,49105,49838,48814,1.06
04-02-2010,49124,50899,51176,48991,-3.54
03-02-2010,50926,51355,51724,50908,-0.9
02-02-2010,51388,50990,51637,50658,0.63
01-02-2010,51066,49850,51184,49584,2.5
29-01-2010,49818,50249,50404,49556,-0.99
28-01-2010,50314,50216,50781,49796,0.28
27-01-2010,50172,50296,51014,50188,-0.33
26-01-2010,50339,50563,50795,49905,-0.43
25-01-2010,50558,50399,51017,50286,0.18
22-01-2010,50467,50565,50818,50031,-0.28
21-01-2010,50607,50951,51371,50205,-0.67
20-01-2010,50949,52057,52261,50955,-2.1
19-01-2010,52041,51637,52247,51564,0.71
18-01-2010,51676,51681,51929,51465,-0.1
15-01-2010,51727,51988,52168,51415,-0.7
14-01-2010,52091,51724,52490,51535,0.67
13-01-2010,51745,51498,51867,51015,0.52
12-01-2010,51477,52034,52681,51384,-1.31
11-01-2010,52160,51793,52799,51889,0.99
08-01-2010,51647,51635,52055,51101,0.07
07-01-2010,51612,51975,52049,51499,-0.69
06-01-2010,51970,51596,52296,51396,0.56
05-01-2010,51682,51864,52169,51456,-0.27
04-01-2010,51820,51078,51997,50860,1.41
01-01-2010,51101,50866,51228,50891,0.48
31-12-2009,50854,50808,51566,50795,0.2
30-12-2009,50755,51069,51240,50602,-0.64
29-12-2009,51083,51360,51709,51086,-0.61
28-12-2009,51397,51455,51850,51193,0.12
25-12-2009,51336,51401,51470,51347,-0.51
24-12-2009,51600,50715,51690,50724,1.79
23-12-2009,50691,50713,51379,50581,-0.04
22-12-2009,50710,51154,51434,50211,-0.79
21-12-2009,51112,51897,52332,51024,-1.54
18-12-2009,51912,51488,52170,51267,0.78
17-12-2009,51512,52981,53298,51396,-2.74
16-12-2009,52962,52321,53163,52160,1.27
15-12-2009,52300,52472,52709,51739,-0.2
14-12-2009,52404,51740,52643,51632,1.22
11-12-2009,51772,52554,53191,51573,-1.61
10-12-2009,52619,52496,52867,52228,0.26
09-12-2009,52484,52628,53374,51989,-0.33
08-12-2009,52660,53724,54369,52479,-2.08
07-12-2009,53780,53536,54141,52910,0.37
04-12-2009,53580,55531,56011,52997,-3.78
03-12-2009,55688,56168,56754,55475,-0.75
